,ID_Fatura,UC,Municipio,Bairro_Cidade,Endereco_Complemento,Campus_Name,Campus_Unique_Name,Grupo_Tarifario,Fase,valor_total_RS,pagina_correspondente,valor_faturado_consumo,valor_faturado_band_amar,valor_faturado_band_verm,valor_faturado_consumo_P,valor_faturado_consumo_FP,valor_faturado_ener_reat_exc_P,valor_faturado_ener_reat_exc_FP,valor_faturado_demanda,valor_faturado_demanda_ultr,valor_faturado_cosip,valor_faturado_custo_disp_sistema,valor_faturado_comp_viol_meta_continuidade,Quantidade_consumo,Quantidade_consumo_P,Quantidade_consumo_FP,Quantidade_ener_reat_exc_P,Quantidade_ener_reat_exc_FP,Quantidade_demanda,Quantidade_demanda_ultr,Quantidade_custo_disp_sistema,Medido_consumo,Medido_consumo_P,Medido_consumo_FP,Medido_ener_reat_exc_P,Medido_ener_reat_exc_FP,Medido_demanda,Medido_demanda_ultr,Medido_energia_reat_indutiva,MM_YY_ref,year,month,has_demanda,has_been_charged_by_demanda_ultr,has_been_refunded,real_contracted_value_for_demanda,diff_demanda_contratada_medida,ratio_medido_faturado,demanda_tarifa_cost_real_por_kW,lost_money_sobrecontratacao_demanda
14,01-20195401491781-93,46190068,IBIRAMA,BELA VISTA / IB,"R DOUTOR GETULIO VARGAS, 2822, CEAVI",CEAVI,CEAVI_Bela-Vista_A4_Dr.Getulio-Vargas.2822,A-4,TR-TRIFASICO,29,20,36,23,69,1,19,17,63,63,51,77,6,68,12,74,65,1,73,85,44,66,95,69,59,75,81,7,76,58,2019_11,2019,11,True,False,False,95.0,15.5,0.84,13.1,78
15,01-20195416378963-29,49292945,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"AV LOURIVAL CESARIO PEREIRA, 100, UDESC",CEFSI,CEFSI_Nova-Esperanca_A4_Lourival-Cesario.100,A-4,TR-TRIFASICO,54,22,11,39,64,33,50,99,77,46,49,14,75,53,40,25,5,29,48,37,50,67,96,93,98,26,44,48,30,37,2019_11,2019,11,True,False,False,235.0,146.3,0.38,13.1,29
16,01-20195453952751-60,41399880,CHAPECO,CHAP - STO ANTONIO,"R BELONI TROMBETA ZANIN, 680, E",CEO,CEO_Sto-Antonio_A4_Beloni-Zanin.600,A-4,TR-TRIFASICO,9,23,97,52,35,89,78,63,77,33,73,61,17,16,41,5,21,47,89,82,15,70,29,67,20,44,24,71,5,31,2019_11,2019,11,True,True,False,100.0,-11.0,1.11,13.15,34
17,01-20195453952603-73,45175634,SAO BENTO DO SUL,BRASILIA,"AV PREFEITO ORNITH BOLLMANN, 0, CEDUP ENTRE 480 - 581",CEPLAN,CEPLAN_Brasilia_A4,A-4,TR-TRIFASICO,13,27,96,24,97,42,96,7,23,60,84,69,80,25,35,56,58,18,46,26,92,59,96,22,92,86,34,43,98,66,2019_11,2019,11,True,False,False,60.0,8.5,0.86,13.1,88
18,01-20195453952020-15,23421615,FLORIANOPOLIS,SANTA MONICA - FNS,"AV MADRE BENVENUTA, 2007, REITORIA",UDESC-CAMPUS-I,UDESC-CAMPUS-I_Santa-Monica_A4,A-4,TR-TRIFASICO,99,28,74,35,86,75,60,84,89,82,53,77,86,18,13,57,50,92,40,29,32,73,75,73,85,32,79,95,92,21,2019_11,2019,11,True,True,False,720.0,-48.0,1.07,13.1,40
19,01-20195392549700-80,24712095,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"AV DO ANTAO,, ",Reitoria,Reitoria_Centro_B3,B-3,TR-TRIFASICO,1,1,63,27,40,85,9,27,36,69,24,8,51,81,39,31,94,74,34,61,39,71,20,84,59,52,98,94,8,39,2019_11,2019,11,False,False,False,0.0,0.0,,,72
20,01-20195448146143-84,10061792,FLORIANOPOLIS,COQUEIROS - FNS,"R SAO CRISTOVAO, 177, ",CEFID,CEFID_Coqueiros_B3_S.Cristovao.177,B-3,MO-MONOFASICO,96,3,79,44,35,57,54,86,82,48,70,22,4,71,66,64,34,19,40,34,80,27,43,82,20,38,18,88,18,30,2019_11,2019,11,False,False,False,0.0,0.0,,,27
21,01-20195448144342-30,10065585,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 149, ",CEFID,CEFID_Coqueiros_B3_P.Simone.149,B-3,TR-TRIFASICO,2,4,50,16,30,52,49,46,99,51,69,20,38,70,77,65,90,42,92,1,54,21,80,44,49,9,90,93,34,82,2019_11,2019,11,False,False,False,0.0,0.0,,,67
22,01-20195459548339-53,28735561,JOINVILLE,AMERICA - JVE,"R OTTO BOEHMM, 48, SL3 CX4",CCT,CCT_America_B3_Radio_CX_4,B-3,TR-TRIFASICO,41,9,21,55,99,41,74,62,92,94,99,2,8,70,73,84,41,47,64,32,62,54,70,37,91,4,18,34,33,2,2019_11,2019,11,False,False,False,0.0,0.0,,,29
23,01-20195416197075-80,42565431,LAGUNA,PRAIA DO GI - LAG,"AV PRES CASTELO BRANCO,0, RESTAURANTE ESCOLA",CERES,CERES_Praia-do-Gi_B3_Restaurante-Escola,B-3,TR-TRIFASICO,61,14,47,35,33,71,43,84,70,87,75,76,73,49,43,75,77,92,51,54,17,29,84,5,79,87,22,18,75,86,2019_11,2019,11,False,False,True,0.0,0.0,,,16
24,01-20195388177500-80,2102650,IBIRAMA,BELA VISTA / IB,"R 7 DE SETEMBRO, 200, ",CEAVI,CEAVI_Bela-Vista_B3_7.Set.200,B-3,TR-TRIFASICO,5,17,26,97,15,46,19,38,1,60,11,30,12,7,29,27,44,92,99,74,13,74,54,2,34,31,66,59,26,95,2019_11,2019,11,False,False,False,0.0,0.0,,,72
25,01-20195388177521-50,2102811,IBIRAMA,BELA VISTA / IB,"R PROF® HELENA LAUN, 236, ",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.236,B-3,MO-MONOFASICO,19,18,30,18,2,6,64,92,25,45,88,50,84,84,14,47,74,47,82,44,6,35,69,53,80,59,56,8,84,88,2019_11,2019,11,False,False,False,0.0,0.0,,,54
26,01-20195465319904-24,47553474,CHAPECO,CENTRO,"R SETE DE SETEMBRO, 91, AP101 ED PERETTI - DPTO CURSO ENFERMAGEM",CEO,CEO_Centro_B3_7.Set.91_Departamento-Enfermagem,B-3,TR-TRIFASICO,63,24,91,3,76,82,90,96,80,82,12,24,97,42,91,47,82,64,31,49,96,30,48,64,19,53,1,40,50,65,2019_11,2019,11,False,False,False,0.0,0.0,,,94
27,01-20195388127662-40,22037099,PINHALZINHO,PINH - RURAL,"LN BONITA,, KM 01",CEO,CEO_Pinh_B3_Km01,B-3,TR-TRIFASICO,59,25,39,77,89,72,1,16,37,25,33,7,83,32,46,18,12,46,49,59,50,36,61,71,85,87,59,13,24,59,2019_11,2019,11,False,False,False,0.0,0.0,,,25
28,01-20195396878740-33,21363677,FLORIANOPOLIS,ITACORUBI - FNS,"SV CAMINHO DO PORTO,, CONJUNTO ESPORTIVO",Reitoria,Reitoria_Itacorubi_B3_Conjunto-Esportivo,B-3,TR-TRIFASICO,29,1,32,5,75,67,29,7,94,35,86,15,75,78,71,61,16,51,82,52,26,21,10,96,85,50,69,77,3,75,2019_11,2019,11,False,False,False,0.0,0.0,,,71
29,01-20195448146224-84,10061849,FLORIANOPOLIS,COQUEIROS - FNS,"R SAO CRISTOVAO, 275, CEFID - UDESC",CEFID,CEFID_Coqueiros_UC_2,B-3,TR-TRIFASICO,94,3,20,47,56,48,33,73,75,14,96,27,59,51,77,8,29,61,47,5,97,29,17,92,90,58,91,71,48,21,2019_11,2019,11,False,False,False,0.0,0.0,,,25
30,01-20195448144345-28,10065593,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 163, ",CEFID,CEFID_Coqueiros_B3_P.Simone.163,B-3,TR-TRIFASICO,54,4,14,11,92,89,69,7,8,96,18,84,88,72,98,14,3,14,32,54,35,92,9,20,48,88,3,81,99,67,2019_11,2019,11,False,False,False,0.0,0.0,,,70
31,01-20195459548341-3,28735588,JOINVILLE,AMERICA - JVE,"R OTTO BOEHMM, 48, SL6 CX6",CCT,CCT_America_B3_Radio_CX_6,B-3,TR-TRIFASICO,94,9,38,83,41,79,48,28,74,15,93,43,62,87,23,66,96,62,62,38,11,56,61,43,32,5,40,51,49,96,2019_11,2019,11,False,False,False,0.0,0.0,,,73
32,01-20195416197066-99,51262476,LAGUNA,PROGRESSO - LAG,"AV ENG COLOMBO MACHADO SALLES,0, ",CERES,CERES_Progresso_B3_Colombo-Sales.0,B-3,TR-TRIFASICO,5,14,79,26,51,51,47,55,15,68,55,6,32,98,38,77,74,83,96,3,87,89,34,62,83,1,83,42,72,87,2019_11,2019,11,False,False,False,0.0,0.0,,,55
33,01-20195388177522-13,2102668,IBIRAMA,BELA VISTA / IB,"R PROF HELENA LAUN, 120, FUNDOS",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.120.Fundos,B-3,MO-MONOFASICO,92,17,98,88,94,10,34,63,78,39,25,50,59,23,40,61,38,71,56,57,6,79,57,89,96,58,96,78,94,94,2019_11,2019,11,False,False,False,0.0,0.0,,,55
34,01-20195388177524-49,2102889,IBIRAMA,BELA VISTA / IB,"R PROF HELENA LAUN, 120, ",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.120,B-3,TR-TRIFASICO,14,18,31,76,91,8,90,32,95,31,30,12,24,72,49,20,31,83,72,70,63,36,27,22,75,9,30,50,64,21,2019_11,2019,11,False,False,False,0.0,0.0,,,71
35,01-20195465319896-6,47571197,CHAPECO,CENTRO,"R 7 DE SETEMBRO, 91, D TERREO",CEO,CEO_Centro_B3_7.Set.91_D-Terreo,B-3,TR-TRIFASICO,46,24,38,94,51,65,56,1,18,1,20,15,92,23,66,40,84,74,1,1,66,87,68,62,65,9,62,43,19,50,2019_11,2019,11,False,False,False,0.0,0.0,,,82
36,01-20195465261152-31,48665160,GUATAMBU,GUAT - RURAL,"LN PORTO CHALANA,, FAZENDA EXPERIMENTAL CEO - FACEO",CEO,CEO_Rural_B3_Fazenda-Experimental,B-3,MO-MONOFASICO,61,25,15,29,79,91,62,23,73,65,42,41,85,97,98,14,33,81,24,94,8,18,25,75,35,61,2,80,26,9,2019_11,2019,11,False,False,False,0.0,0.0,,,43
37,01-20195079722184-16,12183828,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R VISC OURO PRETO, 457, ",FAED,FAED_Centro_B3,B-3,TR-TRIFASICO,38,2,95,62,88,49,19,14,69,74,42,35,39,71,1,91,14,49,12,4,26,92,55,41,3,23,78,36,41,71,2019_08,2019,8,False,False,False,0.0,0.0,,,15
38,01-20195152891543-18,28925301,JOINVILLE,SAGUACU - JVE,"R PAST GUILHERME RAU,1, UDESC RADIO EDUCATIVA DE JLLE - MIRANTE",CCT,CCT_Saguacu_B3_Radio_Mirante,B-3,MO-MONOFASICO,30,7,75,23,71,24,98,76,96,95,94,48,8,37,24,75,17,10,87,37,44,31,49,4,93,54,42,85,82,80,2019_08,2019,8,False,False,False,0.0,0.0,,,18
39,01-20195172458128-18,28925310,JOINVILLE,AMERICA - JVE,"R OTTO BOEHM, 30, SL6 CX7 - UDESC FUNDACAO",CCT,CCT_America_B3_Radio_CX_7,B-3,BI-BIFASICO,73,10,4,77,30,87,30,94,58,24,73,84,94,72,86,92,47,73,74,50,38,75,21,17,14,20,14,55,94,5,2019_08,2019,8,False,False,False,0.0,0.0,,,64
40,01-20195152809918 -3,48665110,LAGES,MACACOS - LAG*,"LOC MACACOS,, FAZENDA EXPERIMENTAL DO CAV",CAV,CAV_Macacos_B3_Fazenda,B-3,MO-MONOFASICO,58,11,59,54,27,30,38,6,10,58,22,11,96,69,43,15,90,80,74,20,55,50,34,31,74,70,64,5,13,11,2019_08,2019,8,False,False,False,0.0,0.0,,,86
41,01-20195180677381-24,26445418,LAGES,CIDADE ALTA - LAG*,"R DAS TORRES, 2090, AREA INDUSTRIAL - UDESC RADIO LAGES",CAV,CAV_Cidade-Alta_B3_Radio,B-3,TR-TRIFASICO,43,13,59,77,16,72,27,91,44,79,87,23,91,78,75,31,23,87,91,81,25,47,4,78,81,28,79,29,12,43,2019_08,2019,8,False,False,False,0.0,0.0,,,22
42,01-20195171882376-87,25576640,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, GINASIO COBERTO BERTHOLDO WERNER",CERES,CERES_Progresso_B3_Ginasio,B-3,TR-TRIFASICO,33,15,17,84,26,36,61,98,48,17,62,33,74,54,42,51,57,94,42,77,89,67,8,46,49,82,6,31,68,42,2019_08,2019,8,False,False,False,0.0,0.0,,,55
43,01-20195171943361-57,43860100,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"R EDGAR LINHARES, 570, GALPAO 04",CEFSI,CEFSI_Nova-Esperanca_,B-3,TR-TRIFASICO,14,21,39,82,97,74,31,64,69,62,32,36,56,6,34,8,5,74,17,28,57,88,19,39,22,88,71,93,96,87,2019_08,2019,8,False,False,False,0.0,0.0,,,69
44,01-20195109356851-27,26132010,SAO BENTO DO SUL,CENTENARIO,"R LUIZ FERNANDO HASTREITER, 150, ",CEPLAN,CEPLAN_Centenario_B3,B-3,TR-TRIFASICO,22,26,70,87,18,79,56,96,36,34,87,73,59,61,9,86,58,25,96,17,98,12,55,44,19,48,14,12,86,41,2019_08,2019,8,False,False,False,0.0,0.0,,,67
45,01-20195184785530-98,12184158,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 212, ",CEFID,CEFID_Coqueiros_A4_P.Simone.212,A-4,TR-TRIFASICO,99,5,14,9,7,83,65,51,58,95,3,24,54,97,46,81,44,97,57,41,92,85,81,15,20,74,71,57,14,96,2019_08,2019,8,True,False,False,150.0,28.5,0.81,13.66,84
46,01-20195184785602-5,20665025,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R SALDANHA MARINHO, 47, ",Museu,Museu_Centro_A4,A-4,TR-TRIFASICO,73,6,1,85,74,77,7,20,4,45,52,51,25,5,89,49,3,62,18,81,1,25,13,65,67,94,27,42,93,17,2019_08,2019,8,True,False,False,30.0,7.9,0.74,13.66,11
47,01-20195184785994-59,26454336,JOINVILLE,BOM RETIRO -JVE,"R TTE ANTONIO JOAO,, CAMPUS UNIVER. FACULD. ENGENHARIA",CCT,CCT_B.Retiro_A4_Facul.Eng,A-4,TR-TRIFASICO,39,8,40,77,1,32,1,98,32,18,89,85,42,63,94,41,42,40,58,28,75,1,51,80,31,66,25,96,18,38,2019_08,2019,8,True,False,False,600.0,287.9,0.52,13.66,90
48,01-20195184785991-60,12216955,LAGES,CONTA DINHEIRO- LAG*,"R PAULO ALVES DE LIZ,, TELEMED",CAV,CAV_Conta-Dinheiro_A4_Telemed,A-4,TR-TRIFASICO,97,12,47,65,43,78,94,78,94,12,95,21,4,41,94,89,42,7,79,34,21,65,64,10,44,45,38,39,62,75,2019_08,2019,8,True,False,False,440.0,34.5,0.92,13.66,75
49,01-20195184786188-25,12264488,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, COL COMERCIAL LAGUNENSE",CERES,CERES_Progresso_A4_Col.Comercial-Laguense,A-4,TR-TRIFASICO,84,16,72,65,97,26,71,24,51,36,62,7,38,16,54,88,23,54,96,79,64,57,54,3,73,94,63,78,95,87,2019_08,2019,8,True,False,False,190.0,126.5,0.33,13.66,59
50,01-20195123627393-0,22814907,IBIRAMA,CENTRO / IB,"R DOUTOR GETULIO VARGAS, 2678, SALA 03",CEAVI,CEAVI_Centro_A4,A-4,TR-TRIFASICO,77,19,93,69,64,45,71,73,52,36,84,35,16,56,74,60,9,64,82,71,79,89,93,71,5,10,71,36,72,69,2019_08,2019,8,True,False,False,30.0,17.2,0.43,13.55,85
51,01-20195123627491-10,46190068,IBIRAMA,BELA VISTA / IB,"R DOUTOR GETULIO VARGAS, 2822, CEAVI",CEAVI,CEAVI_Bela-Vista_A4_Dr.Getulio-Vargas.2822,A-4,TR-TRIFASICO,93,20,46,50,57,69,35,32,70,13,97,38,70,33,98,96,6,56,14,32,33,81,77,72,38,70,44,61,22,29,2019_08,2019,8,True,False,False,95.0,60.2,0.37,13.55,64
52,01-20195135621929-72,49292945,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"AV LOURIVAL CESARIO PEREIRA, 100, UDESC",CEFSI,CEFSI_Nova-Esperanca_A4_Lourival-Cesario.100,A-4,TR-TRIFASICO,98,22,6,58,42,6,96,78,38,63,83,20,73,91,40,10,91,81,49,56,84,26,36,34,41,64,87,9,92,2,2019_08,2019,8,True,False,False,235.0,209.8,0.11,13.55,66
53,01-20195184786369-70,41399880,CHAPECO,CHAP - STO ANTONIO,"R BELONI TROMBETA ZANIN, 680, E",CEO,CEO_Sto-Antonio_A4_Beloni-Zanin.600,A-4,TR-TRIFASICO,63,23,42,19,39,26,90,25,4,28,89,60,34,76,18,11,82,97,17,37,27,33,89,42,15,52,77,50,36,13,2019_08,2019,8,True,False,False,100.0,44.3,0.56,13.66,93
54,01-20195184786276-90,45175634,SAO BENTO DO SUL,BRASILIA,"AV PREFEITO ORNITH BOLLMANN, 0, CEDUP ENTRE 480 - 581",CEPLAN,CEPLAN_Brasilia_A4,A-4,TR-TRIFASICO,85,27,93,78,29,85,66,59,19,55,89,46,80,83,68,41,27,2,51,67,71,56,35,93,31,81,74,19,78,90,2019_08,2019,8,True,False,False,60.0,17.5,0.71,13.66,65
55,01-20195184785582-91,23421615,FLORIANOPOLIS,SANTA MONICA - FNS,"AV MADRE BENVENUTA, 2007, REITORIA",UDESC-CAMPUS-I,UDESC-CAMPUS-I_Santa-Monica_A4,A-4,TR-TRIFASICO,14,28,20,92,10,83,35,70,75,43,41,98,18,51,14,48,76,93,34,89,33,77,91,97,83,86,98,61,51,37,2019_08,2019,8,True,False,False,720.0,250.0,0.65,13.66,25
56,01-20195103259100-4,24712095,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"AV DO ANTAO,, ",Reitoria,Reitoria_Centro_B3,B-3,TR-TRIFASICO,97,1,46,64,43,73,98,19,19,83,51,80,78,30,12,30,50,50,80,28,57,46,83,54,21,66,24,99,5,88,2019_08,2019,8,False,False,True,0.0,0.0,,,23
57,01-20195171650291-31,10061792,FLORIANOPOLIS,COQUEIROS - FNS,"R SAO CRISTOVAO, 177, ",CEFID,CEFID_Coqueiros_B3_S.Cristovao.177,B-3,MO-MONOFASICO,79,3,4,7,49,74,29,7,8,72,98,8,26,5,6,32,37,34,43,20,94,4,78,54,29,38,49,58,17,16,2019_08,2019,8,False,False,False,0.0,0.0,,,5
58,01-20195171648509-51,10065585,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 149, ",CEFID,CEFID_Coqueiros_B3_P.Simone.149,B-3,TR-TRIFASICO,30,4,6,29,98,4,99,51,77,20,56,44,35,48,10,32,10,86,51,8,46,65,56,74,70,37,47,74,86,43,2019_08,2019,8,False,False,False,0.0,0.0,,,26
59,01-20195172458118-64,28735561,JOINVILLE,AMERICA - JVE,"R OTTO BOEHMM, 48, SL3 CX4",CCT,CCT_America_B3_Radio_CX_4,B-3,TR-TRIFASICO,58,9,11,34,20,55,46,23,10,92,21,78,77,44,38,14,78,86,63,55,9,43,56,83,23,68,19,96,81,41,2019_08,2019,8,False,False,False,0.0,0.0,,,2
60,01-20195135772438-25,42565431,LAGUNA,PRAIA DO GI - LAG,"AV PRES CASTELO BRANCO,0, RESTAURANTE ESCOLA",CERES,CERES_Praia-do-Gi_B3_Restaurante-Escola,B-3,TR-TRIFASICO,34,14,53,21,71,70,3,43,82,44,59,92,91,25,27,84,24,65,95,7,92,9,84,89,54,58,92,40,38,22,2019_08,2019,8,False,False,False,0.0,0.0,,,40
61,01-20195097309795-18,2102650,IBIRAMA,BELA VISTA / IB,"R 7 DE SETEMBRO, 200, ",CEAVI,CEAVI_Bela-Vista_B3_7.Set.200,B-3,TR-TRIFASICO,6,17,49,45,92,38,66,36,4,7,38,92,60,6,52,57,91,3,32,9,82,91,87,8,8,99,53,32,68,71,2019_08,2019,8,False,False,False,0.0,0.0,,,52
62,01-20195097309866-64,2102811,IBIRAMA,BELA VISTA / IB,"R PROF® HELENA LAUN, 236, ",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.236,B-3,MO-MONOFASICO,21,18,24,10,40,84,86,5,35,99,38,71,54,71,91,3,44,83,49,71,15,31,1,94,97,13,64,44,49,79,2019_08,2019,8,False,False,False,0.0,0.0,,,4
63,01-20195180771273-56,47553474,CHAPECO,CENTRO,"R SETE DE SETEMBRO, 91, AP101 ED PERETTI - DPTO CURSO ENFERMAGEM",CEO,CEO_Centro_B3_7.Set.91_Departamento-Enfermagem,B-3,TR-TRIFASICO,15,24,29,8,17,41,25,63,80,33,56,81,88,62,96,77,65,80,61,52,1,44,32,11,58,70,25,75,96,82,2019_08,2019,8,False,False,True,0.0,0.0,,,35
