ID_Fatura,UC,Municipio,Bairro_Cidade,Endereco_Complemento,Campus_Name,Campus_Unique_Name,Grupo_Tarifario,Fase,valor_total_RS,pagina_correspondente,valor_faturado_consumo,valor_faturado_band_amar,valor_faturado_band_verm,valor_faturado_consumo_P,valor_faturado_consumo_FP,valor_faturado_ener_reat_exc_P,valor_faturado_ener_reat_exc_FP,valor_faturado_demanda,valor_faturado_demanda_ultr,valor_faturado_cosip,valor_faturado_custo_disp_sistema,valor_faturado_comp_viol_meta_continuidade,Quantidade_consumo,Quantidade_consumo_P,Quantidade_consumo_FP,Quantidade_ener_reat_exc_P,Quantidade_ener_reat_exc_FP,Quantidade_demanda,Quantidade_demanda_ultr,Quantidade_custo_disp_sistema,Medido_consumo,Medido_consumo_P,Medido_consumo_FP,Medido_ener_reat_exc_P,Medido_ener_reat_exc_FP,Medido_demanda,Medido_demanda_ultr,Medido_energia_reat_indutiva,MM_YY_ref,year,month,has_demanda,has_been_charged_by_demanda_ultr,has_been_refunded,real_contracted_value_for_demanda,diff_demanda_contratada_medida,ratio_medido_faturado,demanda_tarifa_cost_real_por_kW,lost_money_sobrecontratacao_demanda
01-20195469317137-89,26454336,JOINVILLE,BOM RETIRO -JVE,"R TTE ANTONIO JOAO,, CAMPUS UNIVER. FACULD. ENGENHARIA",CCT,CCT_B.Retiro_A4_Facul.Eng,A-4,TR-TRIFASICO,76871.49,8,0.0,558.79,4592.62,18394.59,40518.47,0.53,65.73,9448.54,3172.44,119.78,0.0,0.0,0.0,15094.0,131377.0,2.0,264.0,721.0,121.0,0.0,146471.02,15094.01,131377.0,2.18,263.98,721.05,0.0,45573.3,2019_11,2019,11,True,True,False,600.0,-121.0,1.2,13.1,0.0
01-20195453952251-38,12216955,LAGES,CONTA DINHEIRO- LAG*,"R PAULO ALVES DE LIZ,, TELEMED",CAV,CAV_Conta-Dinheiro_A4_Telemed,A-4,TR-TRIFASICO,61377.38,12,0.0,433.49,4223.28,13857.13,36392.18,0.0,4.58,5765.7,0.0,701.02,0.0,0.0,0.0,11371.0,117998.0,0.0,18.0,440.0,0.0,0.0,129368.64,11370.72,117997.92,0.0,18.43,387.07,0.0,31960.6,2019_11,2019,11,True,False,False,440.0,52.9,0.88,13.1,692.99
01-20195453952523-36,12264488,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, COL COMERCIAL LAGUNENSE",CERES,CERES_Progresso_A4_Col.Comercial-Laguense,A-4,TR-TRIFASICO,13668.36,16,0.0,79.61,829.41,2895.23,6990.59,27.41,291.91,2489.74,0.0,64.46,0.0,0.0,0.0,2376.0,22666.0,110.0,1172.0,190.0,0.0,0.0,25042.03,2375.73,22666.3,110.08,1172.26,109.7,0.0,10328.38,2019_11,2019,11,True,False,False,190.0,80.3,0.58,13.1,1051.93
01-20195401491749-80,22814907,IBIRAMA,CENTRO / IB,"R DOUTOR GETULIO VARGAS, 2678, SALA 03",CEAVI,CEAVI_Centro_A4,A-4,TR-TRIFASICO,1576.35,19,0.0,22.42,34.26,222.15,653.98,0.02,0.02,393.11,0.0,250.39,0.0,0.0,0.0,182.0,2120.0,0.0,0.0,30.0,0.0,0.0,2302.78,182.3,2120.47,0.12,0.12,16.6,0.0,340.47,2019_11,2019,11,True,False,False,30.0,13.4,0.55,13.1,175.54
01-20195401491781-93,46190068,IBIRAMA,BELA VISTA / IB,"R DOUTOR GETULIO VARGAS, 2822, CEAVI",CEAVI,CEAVI_Bela-Vista_A4_Dr.Getulio-Vargas.2822,A-4,TR-TRIFASICO,8038.5,20,0.0,139.53,165.76,2602.54,3410.88,0.0,0.0,1244.87,0.0,474.92,0.0,0.0,0.0,2136.0,11059.0,0.0,0.0,95.0,0.0,0.0,13194.99,2135.58,11059.4,0.0,0.0,79.48,0.0,547.94,2019_11,2019,11,True,False,False,95.0,15.5,0.84,13.1,203.05
01-20195416378963-29,49292945,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"AV LOURIVAL CESARIO PEREIRA, 100, UDESC",CEFSI,CEFSI_Nova-Esperanca_A4_Lourival-Cesario.100,A-4,TR-TRIFASICO,8762.97,22,0.0,106.26,205.16,2253.26,3108.96,0.0,0.02,3079.41,0.0,9.9,0.0,0.0,0.0,1849.0,10081.0,0.0,0.0,235.0,0.0,0.0,11929.49,1848.96,10080.52,0.0,0.12,88.68,0.0,975.48,2019_11,2019,11,True,False,False,235.0,146.3,0.38,13.1,1916.53
01-20195453952751-60,41399880,CHAPECO,CHAP - STO ANTONIO,"R BELONI TROMBETA ZANIN, 680, E",CEO,CEO_Sto-Antonio_A4_Beloni-Zanin.600,A-4,TR-TRIFASICO,8823.86,23,0.0,46.75,541.49,1451.11,4568.37,0.0,0.0,1459.11,297.46,459.57,0.0,0.0,0.0,1191.0,14812.0,0.0,0.0,111.0,11.0,0.0,16003.2,1190.74,14812.45,0.0,0.0,111.35,0.0,561.9,2019_11,2019,11,True,True,False,100.0,-11.0,1.11,13.15,0.0
01-20195453952603-73,45175634,SAO BENTO DO SUL,BRASILIA,"AV PREFEITO ORNITH BOLLMANN, 0, CEDUP ENTRE 480 - 581",CEPLAN,CEPLAN_Brasilia_A4,A-4,TR-TRIFASICO,6499.11,27,0.0,33.86,311.96,2892.91,2252.65,0.0,0.0,786.23,0.0,221.5,0.0,0.0,0.0,2374.0,7304.0,0.0,0.0,60.0,0.0,0.0,9677.82,2373.83,7303.98,0.0,0.0,51.53,0.0,832.83,2019_11,2019,11,True,False,False,60.0,8.5,0.86,13.1,111.35
01-20195453952020-15,23421615,FLORIANOPOLIS,SANTA MONICA - FNS,"AV MADRE BENVENUTA, 2007, REITORIA",UDESC-CAMPUS-I,UDESC-CAMPUS-I_Santa-Monica_A4,A-4,TR-TRIFASICO,81214.76,28,0.0,571.7,4886.15,22274.61,41957.87,0.0,0.0,10063.77,1257.97,202.69,0.0,0.0,0.0,18278.0,136044.0,0.0,0.0,768.0,48.0,0.0,154321.92,18277.82,136044.09,0.0,0.0,768.0,0.0,31189.44,2019_11,2019,11,True,True,False,720.0,-48.0,1.07,13.1,0.0
01-20195392549700-80,24712095,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"AV DO ANTAO,, ",Reitoria,Reitoria_Centro_B3,B-3,TR-TRIFASICO,727.19,1,573.04,14.02,11.85,0.0,0.0,0.0,0.0,0.0,0.0,128.28,0.0,0.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195448146143-84,10061792,FLORIANOPOLIS,COQUEIROS - FNS,"R SAO CRISTOVAO, 177, ",CEFID,CEFID_Coqueiros_B3_S.Cristovao.177,B-3,MO-MONOFASICO,291.68,3,222.21,1.89,14.46,0.0,0.0,0.0,0.0,0.0,0.0,53.12,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195448144342-30,10065585,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 149, ",CEFID,CEFID_Coqueiros_B3_P.Simone.149,B-3,TR-TRIFASICO,474.3,4,373.51,3.18,24.31,0.0,0.0,0.0,0.0,0.0,0.0,73.3,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195459548339-53,28735561,JOINVILLE,AMERICA - JVE,"R OTTO BOEHMM, 48, SL3 CX4",CCT,CCT_America_B3_Radio_CX_4,B-3,TR-TRIFASICO,52.03,9,0.0,0.28,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.08,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195416197075-80,42565431,LAGUNA,PRAIA DO GI - LAG,"AV PRES CASTELO BRANCO,0, RESTAURANTE ESCOLA",CERES,CERES_Praia-do-Gi_B3_Restaurante-Escola,B-3,TR-TRIFASICO,146.83,14,101.63,1.73,4.2,0.0,0.0,0.0,0.0,0.0,0.0,42.01,0.0,2.74,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2019_11,2019,11,False,False,True,0.0,0.0,,,0.0
01-20195388177500-80,2102650,IBIRAMA,BELA VISTA / IB,"R 7 DE SETEMBRO, 200, ",CEAVI,CEAVI_Bela-Vista_B3_7.Set.200,B-3,TR-TRIFASICO,621.26,17,389.12,9.93,6.91,0.0,0.0,0.0,0.0,0.0,0.0,215.3,0.0,0.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195388177521-50,2102811,IBIRAMA,BELA VISTA / IB,"R PROF® HELENA LAUN, 236, ",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.236,B-3,MO-MONOFASICO,287.79,18,69.49,1.77,1.23,0.0,0.0,0.0,0.0,0.0,0.0,215.3,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195465319904-24,47553474,CHAPECO,CENTRO,"R SETE DE SETEMBRO, 91, AP101 ED PERETTI - DPTO CURSO ENFERMAGEM",CEO,CEO_Centro_B3_7.Set.91_Departamento-Enfermagem,B-3,TR-TRIFASICO,389.38,24,336.15,1.07,26.84,0.0,0.0,0.0,0.0,0.0,0.0,25.32,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195388127662-40,22037099,PINHALZINHO,PINH - RURAL,"LN BONITA,, KM 01",CEO,CEO_Pinh_B3_Km01,B-3,TR-TRIFASICO,974.58,25,852.92,21.78,15.14,0.0,0.0,0.0,0.0,0.0,0.0,84.74,0.0,0.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195396878740-33,21363677,FLORIANOPOLIS,ITACORUBI - FNS,"SV CAMINHO DO PORTO,, CONJUNTO ESPORTIVO",Reitoria,Reitoria_Itacorubi_B3_Conjunto-Esportivo,B-3,TR-TRIFASICO,1272.02,1,1021.24,23.92,24.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195448146224-84,10061849,FLORIANOPOLIS,COQUEIROS - FNS,"R SAO CRISTOVAO, 275, CEFID - UDESC",CEFID,CEFID_Coqueiros_UC_2,B-3,TR-TRIFASICO,230.83,3,170.21,1.45,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195448144345-28,10065593,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 163, ",CEFID,CEFID_Coqueiros_B3_P.Simone.163,B-3,TR-TRIFASICO,676.48,4,510.63,4.34,33.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195459548341-3,28735588,JOINVILLE,AMERICA - JVE,"R OTTO BOEHMM, 48, SL6 CX6",CCT,CCT_America_B3_Radio_CX_6,B-3,TR-TRIFASICO,88.44,9,70.92,0.42,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195416197066-99,51262476,LAGUNA,PROGRESSO - LAG,"AV ENG COLOMBO MACHADO SALLES,0, ",CERES,CERES_Progresso_B3_Colombo-Sales.0,B-3,TR-TRIFASICO,1990.52,14,1866.15,31.77,77.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3947.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195388177522-13,2102668,IBIRAMA,BELA VISTA / IB,"R PROF HELENA LAUN, 120, FUNDOS",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.120.Fundos,B-3,MO-MONOFASICO,304.55,17,85.56,2.18,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195388177524-49,2102889,IBIRAMA,BELA VISTA / IB,"R PROF HELENA LAUN, 120, ",CEAVI,CEAVI_Bela-Vista_B3_Prof.Helena-Laun.120,B-3,TR-TRIFASICO,264.61,18,0.0,1.21,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195465319896-6,47571197,CHAPECO,CENTRO,"R 7 DE SETEMBRO, 91, D TERREO",CEO,CEO_Centro_B3_7.Set.91_D-Terreo,B-3,TR-TRIFASICO,3199.88,24,2762.36,8.82,220.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5842.5,0.0,0.0,0.0,0.0,0.0,0.0,215.25,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195465261152-31,48665160,GUATAMBU,GUAT - RURAL,"LN PORTO CHALANA,, FAZENDA EXPERIMENTAL CEO - FACEO",CEO,CEO_Rural_B3_Fazenda-Experimental,B-3,MO-MONOFASICO,529.65,25,446.32,1.42,35.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195079722184-16,12183828,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R VISC OURO PRETO, 457, ",FAED,FAED_Centro_B3,B-3,TR-TRIFASICO,465.33,2,372.79,10.38,0.95,0.0,0.0,0.0,0.0,0.0,0.0,81.21,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195152891543-18,28925301,JOINVILLE,SAGUACU - JVE,"R PAST GUILHERME RAU,1, UDESC RADIO EDUCATIVA DE JLLE - MIRANTE",CCT,CCT_Saguacu_B3_Radio_Mirante,B-3,MO-MONOFASICO,19.36,7,0.0,0.19,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.2,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195172458128-18,28925310,JOINVILLE,AMERICA - JVE,"R OTTO BOEHM, 30, SL6 CX7 - UDESC FUNDACAO",CCT,CCT_America_B3_Radio_CX_7,B-3,BI-BIFASICO,856.59,10,707.68,3.87,44.87,0.0,0.0,0.0,0.0,0.0,0.0,100.17,0.0,0.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195152809918 -3,48665110,LAGES,MACACOS - LAG*,"LOC MACACOS,, FAZENDA EXPERIMENTAL DO CAV",CAV,CAV_Macacos_B3_Fazenda,B-3,MO-MONOFASICO,438.47,11,0.0,0.19,0.78,0.0,0.0,0.0,0.0,0.0,0.0,420.31,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195180677381-24,26445418,LAGES,CIDADE ALTA - LAG*,"R DAS TORRES, 2090, AREA INDUSTRIAL - UDESC RADIO LAGES",CAV,CAV_Cidade-Alta_B3_Radio,B-3,TR-TRIFASICO,1472.65,13,720.72,3.3,47.61,0.0,0.0,0.0,0.0,0.0,0.0,701.02,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195171882376-87,25576640,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, GINASIO COBERTO BERTHOLDO WERNER",CERES,CERES_Progresso_B3_Ginasio,B-3,TR-TRIFASICO,1214.3,15,1062.99,7.19,63.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.5,0.0,0.0,0.0,0.0,0.0,0.0,,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195171943361-57,43860100,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"R EDGAR LINHARES, 570, GALPAO 04",CEFSI,CEFSI_Nova-Esperanca_,B-3,TR-TRIFASICO,73.63,21,0.0,0.39,3.38,0.0,0.0,0.0,0.0,0.0,0.0,12.9,56.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195109356851-27,26132010,SAO BENTO DO SUL,CENTENARIO,"R LUIZ FERNANDO HASTREITER, 150, ",CEPLAN,CEPLAN_Centenario_B3,B-3,TR-TRIFASICO,3200.5,26,3004.78,63.5,61.58,0.0,0.0,0.0,0.0,0.0,0.0,70.64,0.0,0.0,5239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_08,2019,8,False,False,False,0.0,0.0,,,0.0
01-20195184785530-98,12184158,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 212, ",CEFID,CEFID_Coqueiros_A4_P.Simone.212,A-4,TR-TRIFASICO,29434.09,5,0.0,177.6,1672.19,7550.29,16983.16,129.37,670.38,2048.41,0.0,202.69,0.0,0.0,0.0,5572.0,43112.0,387.0,2005.0,150.0,0.0,0.0,48683.52,5571.93,43111.58,386.92,2004.76,121.53,0.0,22047.98,2019_08,2019,8,True,False,False,150.0,28.5,0.81,13.66,389.31
01-20195184785602-5,20665025,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R SALDANHA MARINHO, 47, ",Museu,Museu_Centro_A4,A-4,TR-TRIFASICO,3330.97,6,0.0,17.09,152.47,1098.1,1450.95,0.0,0.0,409.67,0.0,202.69,0.0,0.0,0.0,810.0,3683.0,0.0,0.0,30.0,0.0,0.0,4493.65,810.38,3683.26,0.0,0.0,22.11,0.0,12.11,2019_08,2019,8,True,False,False,30.0,7.9,0.74,13.66,107.91
01-20195184785994-59,26454336,JOINVILLE,BOM RETIRO -JVE,"R TTE ANTONIO JOAO,, CAMPUS UNIVER. FACULD. ENGENHARIA",CCT,CCT_B.Retiro_A4_Facul.Eng,A-4,TR-TRIFASICO,60715.28,8,0.0,326.38,3385.68,14470.57,33831.44,0.0,387.77,8193.66,0.0,119.78,0.0,0.0,0.0,10679.0,85881.0,0.0,1160.0,600.0,0.0,0.0,96559.68,10678.92,85880.76,0.0,1159.62,312.14,0.0,37106.49,2019_08,2019,8,True,False,False,600.0,287.9,0.52,13.66,3932.71
01-20195184785991-60,12216955,LAGES,CONTA DINHEIRO- LAG*,"R PAULO ALVES DE LIZ,, TELEMED",CAV,CAV_Conta-Dinheiro_A4_Telemed,A-4,TR-TRIFASICO,81582.48,12,0.0,450.59,5083.67,18560.09,50778.44,0.0,0.0,6008.67,0.0,701.02,0.0,0.0,0.0,13697.0,128901.0,0.0,0.0,440.0,0.0,0.0,142597.44,13696.89,128900.54,0.0,0.0,405.5,0.0,28008.57,2019_08,2019,8,True,False,False,440.0,34.5,0.92,13.66,471.27
